page,indicator_id,indicator_value,country_id,country_value,countryiso3code,date,value,unit,obs_status,decimal,download_date
3,EN.POP.DNST,Population density (people per sq. km of land area),F1,Fragile and conflict affected situations,FCS,2015,42.8360156665226,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XE,Heavily indebted poor countries (HIPC),HPC,2022,NA,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XE,Heavily indebted poor countries (HIPC),HPC,2021,NA,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XE,Heavily indebted poor countries (HIPC),HPC,2020,43.2109696986377,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XE,Heavily indebted poor countries (HIPC),HPC,2019,42.0267447821198,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XE,Heavily indebted poor countries (HIPC),HPC,2018,40.8674432402477,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XE,Heavily indebted poor countries (HIPC),HPC,2017,39.7215132776548,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XE,Heavily indebted poor countries (HIPC),HPC,2016,38.5854327959573,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XE,Heavily indebted poor countries (HIPC),HPC,2015,37.4909595150098,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XD,High income,,2022,NA,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XD,High income,,2021,NA,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XD,High income,,2020,35.2303172863431,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XD,High income,,2019,35.0873223741565,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XD,High income,,2018,34.9396570208539,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XD,High income,,2017,34.7710487695312,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XD,High income,,2016,34.5946943455368,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XD,High income,,2015,34.4084990970032,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XF,IBRD only,IBD,2022,NA,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XF,IBRD only,IBD,2021,NA,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XF,IBRD only,IBD,2020,68.4957878756614,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XF,IBRD only,IBD,2019,68.0174667279373,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XF,IBRD only,IBD,2018,67.4844953085497,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XF,IBRD only,IBD,2017,66.9086943930025,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XF,IBRD only,IBD,2016,66.2797594128387,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),XF,IBRD only,IBD,2015,65.6372797148031,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),ZT,IDA & IBRD total,IBT,2022,NA,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),ZT,IDA & IBRD total,IBT,2021,NA,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),ZT,IDA & IBRD total,IBT,2020,68.9743735847058,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),ZT,IDA & IBRD total,IBT,2019,68.2129546850892,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),ZT,IDA & IBRD total,IBT,2018,67.4242700977206,,,0,2023-08-31
3,EN.POP.DNST,Population density (people per sq. km of land area),ZT,IDA & IBRD total,IBT,2017,66.6160873156122,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),ZT,IDA & IBRD total,IBT,2016,65.7804518332076,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),ZT,IDA & IBRD total,IBT,2015,64.9489863978477,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XH,IDA blend,IDB,2022,NA,,,0,2023-08-31
